id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price
290503,Copacabana,Entire home/apt,4,1.0,0.0,2.0,796.0
290513,Urca,Entire home/apt,4,1.0,2.0,3.0,546.0
291290,Copacabana,Entire home/apt,4,1.0,1.0,2.0,985.0
291771,Copacabana,Entire home/apt,4,,,,
293166,Santa Teresa,Entire home/apt,2,1.0,0.0,1.0,522.0
293171,Santa Teresa,Entire home/apt,3,0.0,0.0,2.0,281.0
293725,Jardim Botânico,Private room,2,2.0,1.0,1.0,330.0
89981,Ipanema,Private room,2,1.0,1.0,1.0,270.0
94895,Copacabana,Private room,2,1.0,1.0,2.0,274.0
96431,Barra da Tijuca,Entire home/apt,4,1.0,1.0,1.0,1001.0
97636,Botafogo,Private room,2,,,,
98969,Recreio dos Bandeirantes,Private room,2,1.5,1.0,2.0,247.0
99336,Itanhangá,Entire home/apt,6,2.0,4.0,5.0,1143.0
99547,Santa Teresa,Entire home/apt,3,1.0,0.0,4.0,301.0
99971,Leblon,Entire home/apt,2,1.0,0.0,3.0,1231.0
294292,Copacabana,Private room,3,1.0,1.0,2.0,369.0
295493,Laranjeiras,Entire home/apt,5,1.5,2.0,3.0,614.0
295683,Botafogo,Private room,2,1.5,1.0,1.0,70.0
295955,Laranjeiras,Entire home/apt,3,1.0,1.0,1.0,674.0
296910,Barra da Tijuca,Entire home/apt,4,2.0,2.0,2.0,1286.0
297908,Santa Teresa,Entire home/apt,3,1.0,1.0,2.0,407.0
298395,Copacabana,Entire home/apt,8,2.5,3.0,6.0,3029.0
303587,Copacabana,Private room,1,1.0,1.0,1.0,459.0
106372,Barra da Tijuca,Entire home/apt,4,1.0,2.0,2.0,650.0
107469,Santa Teresa,Private room,1,1.0,1.0,1.0,59.0
108072,Copacabana,Entire home/apt,4,1.0,1.0,2.0,303.0
109747,Ipanema,Entire home/apt,8,3.0,4.0,7.0,6141.0
118355,Itanhangá,Entire home/apt,12,4.0,6.0,8.0,4093.0
125656,Copacabana,Entire home/apt,2,1.0,1.0,1.0,878.0
127018,Gávea,Private room,2,1.0,1.0,1.0,150.0
128727,Praça Seca,Private room,2,1.0,1.0,1.0,193.0
306113,Copacabana,Entire home/apt,4,1.0,1.0,4.0,833.0
307714,Ipanema,Private room,2,,,,
309192,Santa Teresa,Entire home/apt,3,1.0,2.0,2.0,472.0
310233,Copacabana,Entire home/apt,2,1.0,0.0,1.0,809.0
311801,Copacabana,Entire home/apt,4,1.0,1.0,2.0,193.0
313223,Ipanema,Entire home/apt,4,1.5,1.0,2.0,965.0
130234,Copacabana,Entire home/apt,1,0.0,0.0,2.0,180.0
132114,Laranjeiras,Private room,2,2.0,1.0,2.0,175.0
132832,Copacabana,Private room,2,1.0,1.0,2.0,1140.0
137002,Leblon,Entire home/apt,5,2.0,2.0,3.0,4164.0
137048,Leblon,Entire home/apt,4,1.0,2.0,3.0,380.0
137150,Lagoa,Entire home/apt,4,2.0,2.0,2.0,3371.0
137343,Ipanema,Entire home/apt,4,,3.0,5.0,472.0
141434,Botafogo,Entire home/apt,3,2.0,2.0,2.0,1580.0
146402,Humaitá,Private room,2,1.5,1.0,2.0,694.0
154127,Jacarepaguá,Entire home/apt,4,1.0,1.0,2.0,1500.0
313985,Barra da Tijuca,Entire home/apt,4,2.5,2.0,3.0,665.0
315102,Ipanema,Entire home/apt,2,1.0,1.0,2.0,964.0
166177,Copacabana,Entire home/apt,4,1.0,0.0,2.0,870.0
166861,Copacabana,Private room,2,1.0,1.0,1.0,555.0
166972,Copacabana,Entire home/apt,4,1.0,0.0,3.0,550.0
167031,Ipanema,Entire home/apt,5,1.0,1.0,2.0,921.0
167932,Copacabana,Entire home/apt,3,1.0,1.0,2.0,796.0
170397,Copacabana,Entire home/apt,4,1.0,0.0,4.0,827.0
171505,Vidigal,Entire home/apt,2,1.0,1.0,3.0,597.0
172902,Copacabana,Entire home/apt,2,1.0,1.0,1.0,689.0
315109,Ipanema,Entire home/apt,4,2.0,2.0,4.0,246.0
316652,Botafogo,Private room,2,1.0,1.0,1.0,202.0
321637,Botafogo,Private room,3,1.0,1.0,3.0,877.0
321648,Botafogo,Private room,2,1.0,1.0,2.0,877.0
321802,Santa Teresa,Private room,2,2.0,1.0,1.0,500.0
322004,Ipanema,Entire home/apt,2,1.0,1.0,1.0,1233.0
323213,Ipanema,Private room,1,1.0,1.0,1.0,467.0
324324,Copacabana,Entire home/apt,6,2.0,2.0,4.0,1243.0
324541,Botafogo,Private room,8,,,,
324679,Botafogo,Private room,2,2.0,1.0,1.0,337.0
326205,Copacabana,Entire home/apt,3,1.0,1.0,1.0,361.0
327375,Santa Teresa,Entire home/apt,16,5.0,6.0,16.0,5874.0
328626,Santa Teresa,Entire home/apt,6,3.0,2.0,5.0,1250.0
330913,Copacabana,Entire home/apt,4,1.0,1.0,2.0,725.0
173709,Copacabana,Entire home/apt,2,1.0,1.0,1.0,477.0
174101,Copacabana,Entire home/apt,5,1.5,2.0,2.0,3705.0
176185,Copacabana,Entire home/apt,8,2.0,3.0,3.0,6324.0
178833,Copacabana,Private room,2,1.0,1.0,1.0,599.0
178951,Copacabana,Entire home/apt,2,1.0,1.0,2.0,662.0
186604,Centro,Private room,2,1.0,1.0,1.0,809.0
188155,Copacabana,Entire home/apt,5,1.0,2.0,3.0,1200.0
190906,Ipanema,Entire home/apt,5,1.5,2.0,3.0,969.0
191462,Botafogo,Private room,1,1.0,1.0,1.0,158.0
332150,Santa Teresa,Private room,3,5.0,1.0,7.0,203.0
332151,Santa Teresa,Private room,3,5.0,7.0,7.0,203.0
333305,Copacabana,Entire home/apt,4,1.0,1.0,2.0,3236.0
334585,Jardim Botânico,Private room,2,2.0,1.0,1.0,330.0
336502,Copacabana,Entire home/apt,4,1.0,1.0,3.0,1000.0
340432,Leblon,Entire home/apt,4,1.0,1.0,4.0,900.0
191955,Humaitá,Private room,1,1.0,1.0,1.0,321.0
198665,Jardim Botânico,Private room,4,2.0,1.0,1.0,607.0
200568,Ipanema,Entire home/apt,2,1.0,1.0,1.0,871.0
202778,Copacabana,Entire home/apt,2,1.0,1.0,2.0,900.0
209671,Glória,Entire home/apt,2,1.0,1.0,1.0,250.0
216461,Flamengo,Private room,2,1.0,1.0,1.0,809.0
216700,Laranjeiras,Private room,4,1.0,1.0,1.0,350.0
219250,Santa Teresa,Entire home/apt,4,1.0,1.0,1.0,220.0
220377,Tijuca,Private room,2,1.0,1.0,1.0,220.0
223073,Ipanema,Entire home/apt,2,1.0,1.0,1.0,850.0
342874,Leme,Entire home/apt,2,1.0,1.0,3.0,432.0
346694,Vila da Penha,Private room,2,1.0,1.0,1.0,438.0
347295,Copacabana,Entire home/apt,4,1.0,1.0,1.0,337.0
347820,Copacabana,Entire home/apt,6,2.0,3.0,4.0,2800.0
347883,Copacabana,Entire home/apt,3,1.0,1.0,2.0,971.0
230989,Copacabana,Entire home/apt,2,1.0,1.0,1.0,207.0
231105,Jacarepaguá,Entire home/apt,3,1.0,1.0,1.0,343.0
231497,Copacabana,Entire home/apt,2,1.0,1.0,1.0,500.0
231516,Copacabana,Entire home/apt,4,,1.0,1.0,350.0
236991,Copacabana,Entire home/apt,5,1.0,1.0,4.0,901.0
238802,Copacabana,Entire home/apt,8,,3.0,,
239531,Copacabana,Entire home/apt,4,1.0,1.0,2.0,881.0
247052,Botafogo,Entire home/apt,4,3.0,2.0,2.0,506.0
248756,Copacabana,Entire home/apt,4,1.5,2.0,2.0,307.0
249323,Copacabana,Entire home/apt,4,2.5,2.0,2.0,1469.0
348330,Lagoa,Entire home/apt,5,2.5,3.0,4.0,1376.0
348369,Lagoa,Private room,1,1.0,1.0,1.0,673.0
352718,Copacabana,Private room,2,3.0,1.0,1.0,500.0
355075,Flamengo,Private room,2,1.5,1.0,1.0,1348.0
355197,Centro,Entire home/apt,4,1.0,0.0,6.0,345.0
357554,Copacabana,Entire home/apt,2,1.0,1.0,1.0,503.0
249842,Copacabana,Private room,2,1.0,1.0,1.0,407.0
251868,Copacabana,Entire home/apt,3,1.0,1.0,3.0,731.0
256323,Santa Teresa,Entire home/apt,2,1.0,1.0,1.0,564.0
262466,Botafogo,Entire home/apt,2,1.0,1.0,1.0,250.0
264816,Barra da Tijuca,Entire home/apt,2,1.5,1.0,2.0,468.0
265072,Copacabana,Entire home/apt,2,1.0,1.0,1.0,627.0
265752,Copacabana,Entire home/apt,6,,3.0,,
447602,Copacabana,Private room,2,,1.0,,
360877,Copacabana,Entire home/apt,2,1.0,1.0,1.0,2249.0
361568,Barra da Tijuca,Entire home/apt,2,1.5,1.0,1.0,500.0
361569,Barra da Tijuca,Entire home/apt,3,2.5,2.0,2.0,2000.0
367183,Santa Teresa,Entire home/apt,6,1.0,5.0,8.0,1054.0
368146,Ipanema,Entire home/apt,4,2.0,2.0,3.0,679.0
369287,Copacabana,Entire home/apt,4,1.0,1.0,2.0,586.0
371950,Ipanema,Entire home/apt,6,2.0,2.0,3.0,628.0
380887,Copacabana,Entire home/apt,6,1.5,3.0,7.0,450.0
392267,Centro,Entire home/apt,4,1.0,1.0,1.0,263.0
396849,Leblon,Entire home/apt,8,2.0,3.0,4.0,456.0
449040,Jardim Botânico,Private room,1,1.0,1.0,1.0,206.0
449177,Vargem Pequena,Private room,2,1.0,1.0,2.0,539.0
449391,Copacabana,Private room,1,0.5,1.0,1.0,538.0
454714,Copacabana,Entire home/apt,3,1.0,1.0,1.0,800.0
461479,Copacabana,Entire home/apt,2,1.0,1.0,1.0,727.0
465251,Copacabana,Entire home/apt,5,2.0,3.0,4.0,3998.0
466477,Copacabana,Private room,2,,1.0,,
469673,Alto da Boa Vista,Entire home/apt,12,4.5,4.0,7.0,1650.0
473180,Copacabana,Entire home/apt,3,2.0,1.0,1.0,1686.0
480220,Ipanema,Entire home/apt,4,1.0,1.0,3.0,721.0
399476,Santa Teresa,Entire home/apt,4,1.0,2.0,3.0,1953.0
400326,Copacabana,Entire home/apt,6,1.0,2.0,4.0,874.0
404674,Flamengo,Private room,3,,,,
405444,Copacabana,Entire home/apt,4,1.0,2.0,2.0,119.0
406603,Copacabana,Entire home/apt,7,2.0,3.0,5.0,2877.0
409038,Copacabana,Entire home/apt,4,1.5,2.0,2.0,500.0
416290,Botafogo,Private room,1,1.0,1.0,1.0,300.0
421001,Humaitá,Entire home/apt,6,1.5,3.0,6.0,1100.0
484267,Copacabana,Entire home/apt,4,2.0,2.0,2.0,998.0
484296,Barra da Tijuca,Entire home/apt,4,2.0,2.0,3.0,578.0
485293,Ipanema,Entire home/apt,5,1.0,1.0,1.0,957.0
487922,Vidigal,Entire home/apt,3,1.0,1.0,2.0,1348.0
490098,Leblon,Entire home/apt,2,,1.0,,
492856,Copacabana,Entire home/apt,8,4.5,4.0,7.0,3929.0
493569,Copacabana,Private room,2,1.0,1.0,2.0,148.0
494903,Vidigal,Entire home/apt,2,1.0,1.0,1.0,671.0
496174,Tijuca,Private room,2,2.0,2.0,1.0,809.0
422804,Leblon,Entire home/apt,2,1.0,1.0,1.0,650.0
428798,Ipanema,Entire home/apt,6,2.0,3.0,4.0,850.0
435728,Copacabana,Entire home/apt,4,1.0,1.0,3.0,870.0
436868,Flamengo,Entire home/apt,2,,1.0,,
501561,Barra da Tijuca,Entire home/apt,3,2.0,2.0,2.0,650.0
504174,Copacabana,Entire home/apt,5,1.0,1.0,4.0,230.0
505165,Ipanema,Private room,2,1.0,1.0,1.0,400.0
507900,Cosme Velho,Entire home/apt,2,1.0,1.0,1.0,170.0
508383,Ipanema,Entire home/apt,9,3.0,2.0,4.0,2650.0
509929,Ipanema,Entire home/apt,8,3.0,2.0,4.0,1790.0
510354,Copacabana,Private room,2,1.0,1.0,2.0,1169.0
512634,Leme,Private room,2,1.0,1.0,2.0,321.0
514424,Santa Teresa,Entire home/apt,2,1.0,1.0,1.0,500.0
438767,Leblon,Entire home/apt,5,2.0,3.0,2.0,1387.0
439907,São Conrado,Entire home/apt,4,1.0,1.0,3.0,386.0
441118,Ipanema,Entire home/apt,2,1.0,1.0,1.0,809.0
441119,Ipanema,Entire home/apt,2,1.0,1.0,1.0,1560.0
442509,Glória,Private room,1,1.0,1.0,2.0,126.0
444250,Copacabana,Entire home/apt,4,1.0,2.0,2.0,1444.0
21723173,Leme,Entire home/apt,4,2.0,2.0,4.0,3200.0
514889,Copacabana,Entire home/apt,4,1.0,2.0,2.0,839.0
515144,Botafogo,Private room,1,1.0,1.0,1.0,140.0
519097,Ipanema,Private room,2,1.0,1.0,1.0,369.0
519542,Barra da Tijuca,Entire home/apt,3,1.0,1.0,1.0,1714.0
519865,Copacabana,Entire home/apt,5,2.0,3.0,5.0,1200.0
525890,Glória,Entire home/apt,4,1.0,1.0,1.0,689.0
528389,Gávea,Entire home/apt,2,1.0,1.0,1.0,230.0
528558,Ipanema,Entire home/apt,6,2.5,3.0,12.0,2000.0
528951,Ipanema,Entire home/apt,4,2.0,2.0,2.0,1165.0
760653,Copacabana,Entire home/apt,3,1.0,2.0,2.0,920.0
761420,Leblon,Entire home/apt,4,1.0,2.0,2.0,1650.0
762336,Ipanema,Entire home/apt,2,1.0,1.0,1.0,631.0
762988,Leme,Private room,3,0.5,1.0,2.0,365.0
764534,Copacabana,Entire home/apt,4,1.0,1.0,1.0,250.0
765255,Santa Teresa,Private room,4,2.5,1.0,3.0,490.0
536931,Ipanema,Entire home/apt,3,1.0,1.0,2.0,1445.0
537390,Laranjeiras,Private room,1,1.0,1.0,1.0,75.0
540421,Copacabana,Entire home/apt,6,2.0,4.0,5.0,3000.0
545007,Cosme Velho,Entire home/apt,3,1.0,1.0,1.0,270.0
555606,Botafogo,Entire home/apt,5,2.0,2.0,2.0,663.0
557344,Copacabana,Entire home/apt,7,3.0,3.0,5.0,1886.0
567300,Copacabana,Private room,2,1.0,1.0,2.0,400.0
567326,Copacabana,Private room,2,1.0,1.0,2.0,564.0
567338,Copacabana,Private room,2,1.0,1.0,1.0,620.0
569509,Copacabana,Entire home/apt,6,2.0,3.0,5.0,1858.0
765614,Leblon,Entire home/apt,2,1.0,1.0,1.0,800.0
768172,Copacabana,Entire home/apt,4,1.5,2.0,3.0,1389.0
769674,Copacabana,Private room,3,1.5,1.0,1.0,659.0
770452,Ipanema,Entire home/apt,3,1.0,1.0,2.0,850.0
772144,Copacabana,Entire home/apt,8,3.0,3.0,7.0,1732.0
772600,Santa Teresa,Private room,3,1.0,1.0,2.0,327.0
777667,Copacabana,Entire home/apt,4,1.0,2.0,2.0,839.0
571163,Copacabana,Private room,2,1.0,1.0,2.0,240.0
575720,Barra da Tijuca,Private room,2,10.0,10.0,32.0,343.0
577253,Copacabana,Private room,2,2.0,1.0,1.0,901.0
579448,Santa Teresa,Private room,3,1.0,1.0,3.0,829.0
579704,Santa Teresa,Private room,2,1.0,1.0,2.0,800.0
579756,Santa Teresa,Private room,3,1.0,1.0,3.0,857.0
584211,Copacabana,Entire home/apt,4,1.0,1.0,4.0,482.0
588751,Ipanema,Entire home/apt,7,2.5,3.0,7.0,2936.0
779951,Cosme Velho,Entire home/apt,2,1.0,1.0,1.0,200.0
780813,Copacabana,Entire home/apt,4,1.0,1.0,2.0,493.0
786496,Copacabana,Entire home/apt,4,,1.0,,
786954,Leblon,Entire home/apt,4,1.5,1.0,2.0,1989.0
787827,Santa Teresa,Entire home/apt,4,2.0,1.0,2.0,640.0
791186,Santa Teresa,Private room,2,1.0,1.0,1.0,738.0
793707,Ipanema,Entire home/apt,4,2.0,2.0,2.0,2023.0
797547,Centro,Entire home/apt,4,1.0,1.0,2.0,1740.0
801784,Copacabana,Entire home/apt,3,1.0,1.0,3.0,900.0
803773,Leme,Entire home/apt,5,1.5,2.0,3.0,1483.0
589233,Ipanema,Private room,2,1.0,1.0,1.0,674.0
589234,Ipanema,Private room,1,1.0,1.0,1.0,674.0
603810,Ipanema,Entire home/apt,3,1.5,1.0,2.0,1129.0
604508,Copacabana,Entire home/apt,2,1.0,1.0,2.0,936.0
604861,Recreio dos Bandeirantes,Entire home/apt,1,1.0,1.0,1.0,337.0
609019,Leblon,Entire home/apt,4,1.0,1.0,2.0,1100.0
613205,Santa Teresa,Private room,3,1.0,1.0,1.0,533.0
616315,Ipanema,Entire home/apt,4,2.0,2.0,3.0,1005.0
625299,Urca,Private room,2,1.0,1.0,1.0,210.0
628044,Leme,Entire home/apt,2,1.0,1.0,1.0,426.0
628098,Ipanema,Entire home/apt,4,1.5,2.0,2.0,1000.0
634088,Leblon,Entire home/apt,4,1.0,1.0,3.0,2688.0
805458,Ipanema,Entire home/apt,2,1.0,1.0,2.0,3371.0
807328,Copacabana,Private room,3,,,,
808301,Barra da Tijuca,Entire home/apt,4,,2.0,,
808557,Ipanema,Entire home/apt,2,1.0,1.0,1.0,1348.0
810940,Ipanema,Entire home/apt,2,2.0,0.0,2.0,854.0
813057,Leme,Private room,3,1.5,1.0,1.0,722.0
815598,Copacabana,Entire home/apt,4,1.0,1.0,2.0,168.0
819354,Ipanema,Private room,2,,1.0,,
634422,Centro,Entire home/apt,2,1.0,1.0,1.0,446.0
636684,Jacarepaguá,Entire home/apt,4,2.0,2.0,3.0,219.0
655106,Ipanema,Entire home/apt,6,2.0,3.0,3.0,1008.0
658035,Copacabana,Entire home/apt,6,2.0,3.0,4.0,3314.0
660717,Botafogo,Private room,6,,1.0,,
669012,Copacabana,Entire home/apt,2,1.0,1.0,1.0,1289.0
670109,Centro,Entire home/apt,2,,1.0,,
672835,Copacabana,Entire home/apt,4,1.0,1.0,2.0,579.0
675035,Botafogo,Entire home/apt,2,1.0,1.0,1.0,552.0
676235,Copacabana,Entire home/apt,4,1.0,1.0,2.0,961.0
819355,Ipanema,Entire home/apt,2,2.0,3.0,1.0,1281.0
820041,Ipanema,Entire home/apt,2,1.0,1.0,1.0,877.0
821174,Ipanema,Private room,2,1.0,1.0,1.0,1445.0
822913,Copacabana,Entire home/apt,2,1.0,0.0,1.0,722.0
824102,Copacabana,Entire home/apt,2,1.0,1.0,1.0,761.0
825329,Copacabana,Entire home/apt,4,1.0,1.0,2.0,930.0
826001,Copacabana,Entire home/apt,2,1.0,1.0,2.0,300.0
826814,Botafogo,Entire home/apt,3,1.0,1.0,1.0,521.0
827448,Leme,Entire home/apt,2,1.0,1.0,1.0,607.0
827529,Copacabana,Entire home/apt,2,1.0,1.0,3.0,458.0
833541,Leme,Entire home/apt,7,2.0,3.0,5.0,1650.0
834737,Copacabana,Entire home/apt,2,1.0,1.0,1.0,700.0
837839,Copacabana,Entire home/apt,6,3.0,3.0,4.0,1500.0
838505,Ipanema,Private room,2,1.0,1.0,1.0,1350.0
839306,Ipanema,Private room,3,1.0,1.0,1.0,1426.0
841897,Copacabana,Entire home/apt,6,2.0,3.0,3.0,2577.0
676781,Rocinha,Entire home/apt,7,3.0,6.0,7.0,1000.0
676983,Ipanema,Entire home/apt,3,,1.0,1.0,1560.0
680320,Copacabana,Entire home/apt,6,1.0,2.0,3.0,1500.0
689997,Gávea,Private room,2,1.5,1.0,2.0,444.0
693897,Ipanema,Entire home/apt,2,1.0,1.0,1.0,894.0
710338,Ipanema,Entire home/apt,8,4.5,3.0,3.0,4829.0
713631,Botafogo,Private room,2,2.0,2.0,1.0,186.0
716516,Gávea,Entire home/apt,7,2.0,3.0,4.0,1429.0
720654,Leblon,Entire home/apt,6,2.0,3.0,3.0,1800.0
720736,Copacabana,Entire home/apt,6,2.5,3.0,3.0,2148.0
842261,Copacabana,Private room,2,1.0,1.0,0.0,180.0
842292,Copacabana,Entire home/apt,12,3.0,3.0,8.0,3400.0
844070,Joá,Entire home/apt,2,1.0,1.0,1.0,407.0
844149,Botafogo,Entire home/apt,6,1.0,1.0,4.0,800.0
846689,Copacabana,Entire home/apt,2,,,,
850322,Ipanema,Entire home/apt,4,1.0,2.0,2.0,1252.0
724673,Ipanema,Entire home/apt,6,2.0,3.0,4.0,2086.0
724742,Ipanema,Entire home/apt,6,2.0,3.0,4.0,1926.0
726410,Botafogo,Entire home/apt,3,2.0,2.0,3.0,239.0
727379,Copacabana,Entire home/apt,6,1.0,1.0,3.0,954.0
730658,Santa Teresa,Private room,3,1.0,1.0,2.0,341.0
730997,Copacabana,Entire home/apt,10,4.5,5.0,6.0,4750.0
735871,Flamengo,Private room,1,3.0,1.0,1.0,260.0
743447,Copacabana,Entire home/apt,4,1.0,0.0,2.0,759.0
746187,Copacabana,Entire home/apt,4,1.0,1.0,1.0,634.0
851184,Gávea,Entire home/apt,8,3.5,1.0,4.0,6742.0
853793,Vidigal,Entire home/apt,11,3.0,5.0,9.0,1600.0
854496,Ipanema,Private room,2,1.5,1.0,2.0,650.0
854771,Copacabana,Entire home/apt,3,1.0,1.0,4.0,486.0
855137,Copacabana,Entire home/apt,4,1.0,1.0,1.0,1800.0
856351,Jardim Botânico,Entire home/apt,4,2.0,2.0,2.0,4000.0
857141,Copacabana,Entire home/apt,3,1.0,2.0,2.0,914.0
857217,Barra da Tijuca,Entire home/apt,12,8.0,6.0,14.0,10000.0
858171,Barra da Tijuca,Entire home/apt,4,,1.0,,
861383,Alto da Boa Vista,Private room,2,1.0,1.0,1.0,1011.0
747862,Copacabana,Entire home/apt,8,2.0,3.0,4.0,2023.0
749237,Ipanema,Entire home/apt,6,2.0,3.0,4.0,2429.0
751447,Flamengo,Private room,2,,1.0,,
752685,Leme,Entire home/apt,3,1.0,1.0,1.0,300.0
753354,Leme,Private room,5,0.5,1.0,2.0,375.0
758578,Copacabana,Entire home/apt,7,1.0,1.0,5.0,1350.0
758632,Gávea,Private room,2,1.5,1.0,2.0,600.0
758966,Gávea,Private room,2,1.5,1.0,2.0,800.0
760259,Barra da Tijuca,Entire home/apt,4,1.0,1.0,2.0,1040.0
25533793,Joá,Entire home/apt,10,4.5,4.0,7.0,3239.0
862028,Ipanema,Private room,2,2.0,2.0,1.0,450.0
862030,Ipanema,Private room,1,2.5,1.0,1.0,450.0
863765,Penha Circular,Private room,10,1.0,1.0,4.0,129.0
863857,Urca,Entire home/apt,2,1.5,1.0,1.0,472.0
865978,Ipanema,Private room,2,1.0,1.0,1.0,964.0
867682,Copacabana,Entire home/apt,4,1.0,1.0,1.0,551.0
872540,Santa Teresa,Private room,2,1.0,1.0,2.0,270.0
873890,Copacabana,Entire home/apt,9,4.0,4.0,5.0,24243.0
874722,Copacabana,Private room,2,1.0,1.0,1.0,449.0
911983,Copacabana,Entire home/apt,6,1.5,2.0,6.0,2275.0
913531,Gávea,Entire home/apt,2,1.5,1.0,1.0,750.0
913581,Copacabana,Private room,2,1.0,1.0,1.0,514.0
914379,Copacabana,Private room,2,2.0,1.0,1.0,1900.0
915057,Copacabana,Private room,2,1.0,1.0,1.0,514.0
915090,Copacabana,Entire home/apt,4,1.5,2.0,6.0,1300.0
917745,Copacabana,Entire home/apt,4,2.5,2.0,2.0,450.0
918167,Santa Teresa,Entire home/apt,2,1.0,1.0,4.0,399.0
919852,Santa Teresa,Private room,3,2.0,4.0,10.0,450.0
875021,Botafogo,Private room,4,,1.0,1.0,200.0
875470,Laranjeiras,Private room,2,1.0,1.0,1.0,284.0
875689,Copacabana,Entire home/apt,7,3.0,3.0,5.0,1000.0
878810,Copacabana,Entire home/apt,3,1.5,2.0,2.0,700.0
881573,Copacabana,Entire home/apt,2,1.0,1.0,1.0,607.0
882508,Copacabana,Private room,5,1.0,1.0,3.0,679.0
882542,Copacabana,Entire home/apt,4,1.0,1.0,2.0,2351.0
882550,Copacabana,Entire home/apt,6,1.0,1.0,3.0,630.0
882956,Copacabana,Entire home/apt,2,1.0,0.0,2.0,450.0
919853,Santa Teresa,Private room,4,2.0,4.0,9.0,450.0
919858,Santa Teresa,Private room,3,2.0,4.0,9.0,450.0
920059,Santa Teresa,Entire home/apt,1,1.0,1.0,1.0,187.0
920391,Copacabana,Private room,1,2.0,1.0,1.0,270.0
921000,Leblon,Entire home/apt,6,3.0,3.0,6.0,2360.0
921277,Santa Teresa,Entire home/apt,2,1.0,1.0,1.0,571.0
922950,Barra da Tijuca,Entire home/apt,10,3.0,3.0,7.0,1161.0
923409,Leblon,Entire home/apt,5,1.5,2.0,2.0,1315.0
924523,Botafogo,Entire home/apt,6,1.0,3.0,3.0,3513.0
883643,Ipanema,Entire home/apt,4,2.0,2.0,2.0,4736.0
885835,Copacabana,Entire home/apt,6,2.0,2.0,3.0,1356.0
886300,Urca,Entire home/apt,5,1.5,2.0,2.0,671.0
