id,number_of_reviews,review_scores_rating
396849,173,4.72
449040,1,5.0
449177,1,5.0
449391,46,4.93
461479,52,4.59
473180,14,4.86
480220,134,4.56
399476,2,5.0
400326,157,4.3
405444,86,4.54
409038,13,4.17
484267,241,4.96
485293,378,4.81
494903,697,4.89
496174,1,4.0
422804,0,4.812309491059147
428798,18,4.28
435728,95,4.7
501561,29,4.93
504174,1,5.0
505165,21,4.68
507900,103,4.64
510354,41,4.69
512634,31,4.81
514424,6,5.0
439907,6,5.0
442509,114,4.7
444250,209,4.93
514889,6,4.83
519097,292,4.82
519542,36,4.92
528389,13,4.15
528558,7,3.86
528951,199,4.94
760653,75,4.72
761420,50,4.88
762336,442,4.74
762988,234,4.72
765255,71,4.91
536931,260,4.69
545007,79,4.75
555606,338,4.88
557344,1,5.0
567300,7,4.67
567326,27,4.62
567338,24,4.83
569509,141,4.94
768172,121,4.91
769674,3,5.0
770452,341,4.72
772144,265,4.81
777667,1,5.0
571163,26,4.96
575720,1,5.0
577253,145,4.83
579448,10,4.78
579704,15,4.87
579756,17,5.0
780813,45,4.55
786954,1,5.0
791186,16,4.94
793707,60,4.8
797547,6,4.83
801784,157,4.51
803773,7,5.0
589233,11,5.0
603810,225,4.91
604508,28,4.86
609019,49,4.76
613205,38,4.83
628044,95,4.7
628098,32,4.94
810940,98,4.69
815598,24,4.21
634422,449,4.89
636684,45,4.52
655106,24,4.88
822913,51,4.66
824102,118,4.78
825329,87,4.85
826814,38,4.42
827448,10,4.7
834737,191,4.88
837839,80,4.98
838505,18,4.94
676781,2,5.0
680320,35,4.89
689997,54,4.76
693897,106,4.69
716516,73,4.76
720654,4,4.75
842261,26,4.87
844070,73,4.78
844149,51,4.49
724673,140,4.69
724742,142,4.75
726410,7,5.0
727379,463,4.85
735871,3,4.67
743447,75,4.84
746187,54,4.7
854496,60,4.31
855137,63,4.73
857141,7,4.33
747862,32,4.59
753354,98,4.67
758578,37,4.4
758632,11,4.82
758966,19,4.63
862028,40,4.63
862030,114,4.33
863765,10,4.0
863857,8,4.38
867682,49,4.8
872540,29,4.93
874722,316,4.85
911983,41,4.8
915057,166,4.86
915090,125,4.78
918167,145,4.92
919852,11,4.73
875470,24,4.92
875689,142,4.54
878810,39,4.97
881573,61,4.89
882956,21,4.57
919853,0,4.812309491059147
919858,11,4.27
920059,76,4.87
921277,13,4.73
923409,148,4.91
885835,105,4.78
886300,489,4.87
887829,306,4.46
889320,62,4.9
893729,47,4.96
894395,5,5.0
895102,102,4.79
895893,51,4.75
924693,19,4.84
925802,71,4.84
926669,109,4.73
926987,39,4.97
929775,1,5.0
930310,14,4.86
931638,61,4.79
899314,33,4.97
901515,15,5.0
902440,12,4.58
902567,59,4.58
904294,17,4.75
935028,239,4.85
935090,93,4.81
935162,5,4.4
940883,50,4.7
953574,254,4.71
907718,3,5.0
909978,5,4.4
910085,13,4.83
910793,32,4.94
1170381,1,0.0
1173981,27,4.81
958021,56,4.93
960342,24,4.88
963765,10,4.78
968169,8,5.0
994419,47,4.53
1174197,150,4.72
1174302,120,4.77
1179338,32,4.58
1185423,7,5.0
996602,604,4.82
1004269,12,4.67
1008537,29,4.86
1013191,30,4.77
1014428,41,4.98
1016312,5,5.0
1017703,196,4.75
1190324,218,4.86
1204703,27,4.78
1212340,272,4.65
1018724,197,4.61
1023218,3,4.67
1033727,166,4.8
1038738,20,4.6
1058881,14,4.21
1063491,179,4.67
1065597,15,4.87
1213618,13,4.83
1213632,0,4.812309491059147
1215717,140,4.87
1067198,95,4.69
1076794,8,4.88
1086624,17,4.65
1220837,55,4.89
1223867,433,4.73
1224109,29,4.86
1226009,16,4.81
1088909,0,4.812309491059147
1096875,184,4.71
1097585,15,5.0
1110592,282,4.65
1111056,6,4.83
1246502,130,4.73
1262704,1,5.0
1262967,154,4.88
1271265,197,4.96
1118497,365,4.74
1120765,38,4.32
1130596,186,4.9
1131446,19,4.21
1146944,264,4.72
1274695,21,4.9
1284892,208,4.55
1150993,24,4.67
1151855,13,4.54
1152880,9,4.56
1158520,86,4.63
1163118,153,4.51
1632682,140,4.84
1637425,1,5.0
1640454,81,4.78
1288017,192,4.7
1288700,102,4.98
1640669,254,4.84
1651774,264,4.86
1657350,11,4.64
1661373,147,4.46
1668937,191,4.92
1670742,264,4.87
1292491,53,4.85
1303400,12,4.83
1303580,30,4.93
1304552,314,4.62
1676116,101,4.81
1676910,16,4.69
1687505,110,4.83
1688152,49,4.8
1697290,62,4.77
1698253,37,4.84
1701579,26,5.0
1320302,327,4.93
1327482,13,4.92
1705153,135,4.92
1712186,60,4.69
1712872,99,4.71
1713671,351,4.74
1716648,13,4.0
1717081,0,4.812309491059147
1721278,5,5.0
1332826,24,5.0
1334401,2,5.0
1348194,17,4.88
1360777,32,4.69
1363135,11,5.0
1372831,83,4.63
1727439,0,4.812309491059147
1728790,48,4.9
1730811,13,4.69
1731827,115,4.77
1732191,315,4.72
1737406,157,4.96
1398192,0,4.812309491059147
1403626,113,4.72
1408720,9,4.89
1410460,7,4.86
1758915,20,4.95
1762500,123,4.82
1763779,10,4.33
1763815,65,4.51
1763878,9,4.11
1766232,18,4.81
1768456,315,4.66
1771905,204,4.96
1772800,30,4.4
1426055,35,4.89
1428202,6,4.83
1430946,114,4.76
1774152,321,4.76
1780366,194,4.82
1781500,3,5.0
1784769,0,4.812309491059147
1786262,207,4.93
1789571,8,4.63
1437658,3,5.0
1438385,29,4.83
1458993,32,4.8
1790577,4,4.75
1791848,233,4.75
1792409,116,4.89
1795900,31,4.69
1805973,0,4.812309491059147
1810564,3,4.33
1810603,73,4.75
1462127,32,4.78
1471275,8,5.0
1479860,75,4.49
1482972,35,4.8
1483150,55,4.8
1483182,76,4.72
1811801,59,4.66
1817143,5,4.8
1825112,6,4.33
1830394,23,4.78
1844920,12,4.25
1847188,373,4.91
1856688,20,4.45
1486158,0,4.812309491059147
1487694,36,4.75
1497622,48,4.89
1503835,24,4.75
1514052,23,4.57
1515688,12,4.92
1521300,51,4.82
1525655,80,4.89
1858936,56,4.64
1859188,5,4.4
1867414,51,4.76
1877686,15,4.93
1879333,46,4.57
1885051,1,5.0
1885515,52,4.69
1888527,201,4.83
1530076,16,4.38
1530241,98,4.8
1556381,0,4.812309491059147
1557223,175,4.81
1560444,53,4.6
1562955,244,4.38
1570745,2,4.5
1891080,16,4.81
1892398,110,4.86
1892918,139,4.56
1895099,173,4.88
1912692,94,4.93
1576178,42,4.44
1578335,311,4.76
1583179,171,4.9
1589483,27,4.67
1597516,35,4.49
1913274,329,4.82
1920922,43,4.86
1922676,3,5.0
1924765,93,4.63
1927776,53,4.4
1934374,4,5.0
1597581,62,4.69
1605722,23,4.87
1609505,5,5.0
2101665,20,4.79
2103541,11,4.73
1940226,39,4.69
1943837,216,4.91
1946471,1,5.0
1947928,57,4.7
1948949,10,4.3
1952142,47,4.96
1953198,71,4.87
2104703,51,4.88
2105881,107,4.74
2110690,109,4.8
2111666,5,4.2
2113223,101,4.97
2114951,0,4.812309491059147
1958020,4,5.0
1961615,204,4.75
1964140,214,4.81
1966222,111,4.98
1966526,34,4.85
1966732,209,4.94
1968935,21,4.95
1970013,2,5.0
2116653,211,4.73
2119162,225,4.67
2121305,0,4.812309491059147
2122478,47,4.96
1973108,5,4.2
1974039,100,4.88
1976186,45,4.93
1977864,16,4.94
1979721,8,4.75
1980432,35,4.91
1980588,48,4.71
2126384,13,4.46
2127121,187,4.74
2128009,9,4.33
2128205,0,4.812309491059147
2129356,208,4.98
2130431,29,4.76
2132605,141,4.79
2134770,6,4.83
2136960,6,4.0
1987701,7,4.86
1988030,32,4.84
1989432,24,4.46
1989456,77,4.9
1996358,61,4.64
1999101,0,4.812309491059147
1999749,7,5.0
2138728,383,4.64
2139220,2,5.0
2139356,23,4.96
2000461,0,4.812309491059147
2003574,272,4.79
2006977,77,4.82
2007321,32,4.61
2007641,7,5.0
2008560,196,4.87
2011161,395,4.93
2013790,18,4.72
2149220,140,4.91
2149846,57,4.95
2152945,243,4.55
2155838,203,4.97
2160137,272,4.92
2165011,33,4.76
2168644,25,4.54
2015458,109,4.95
2016607,9,4.89
2022672,4,4.75
2026716,0,4.812309491059147
2032553,13,4.77
2037205,27,4.89
2040235,76,4.89
2045244,71,4.76
2174198,24,4.71
2046481,142,4.77
2048269,11,4.73
2049221,138,4.91
2050282,37,4.73
2178145,1,5.0
2183357,7,4.71
2186011,8,4.88
2187573,160,4.85
2188963,204,4.84
2050379,106,4.99
2050381,16,4.94
2050611,12,4.75
2050704,7,4.86
2050752,22,4.73
2050994,7,4.86
2053687,43,4.93
2059273,8,4.5
2188972,38,4.95
2192557,140,4.72
2192977,0,4.812309491059147
2195429,4,5.0
2196318,97,4.73
2060895,101,4.73
2060953,389,4.95
2062549,29,4.59
2064302,69,4.64
2064951,60,4.63
2065747,238,4.91
2066453,38,4.84
2201388,97,4.86
2201717,3,5.0
2202609,14,4.71
2069171,1,4.0
2070509,5,4.4
2071407,11,5.0
2071807,323,4.78
2078017,175,4.81
2078559,418,4.81
2080198,55,4.6
2080491,60,4.95
2081532,12,4.83
2210042,2,5.0
2219164,0,4.812309491059147
2081842,42,4.74
2085215,22,4.82
2086795,11,4.55
2087485,1,5.0
2088615,13,5.0
2088979,135,4.56
2092178,605,4.8
2219984,48,4.38
2221329,1,5.0
2223144,134,4.84
2233590,5,5.0
2092831,54,4.83
2096353,4,5.0
2098970,49,4.18
2100757,47,4.6
2101210,56,4.86
2101616,384,4.79
2233651,7,4.86
2233690,6,5.0
2242397,67,4.84
2248466,197,4.81
2249452,8,5.0
2291281,16,4.75
2291402,216,4.7
2293417,1,5.0
2294517,79,4.87
2297326,7,5.0
2297780,22,4.86
2298212,88,4.86
2301415,33,4.66
2252657,18,4.94
2254642,79,4.77
2301864,15,4.93
2304688,0,4.812309491059147
2306547,12,5.0
2306767,187,4.68
2308385,24,4.88
2309065,34,4.94
2309085,51,4.82
2309998,37,5.0
2255134,2,4.5
2255240,42,4.95
2258247,124,4.89
2258593,49,4.67
2261244,16,4.25
2261835,62,4.72
2262896,0,4.812309491059147
2263029,37,4.92
2312206,26,4.76
2312561,3,4.67
2314816,14,5.0
2315061,55,4.87
2315128,1,5.0
2315377,38,4.42
2318611,150,4.81
2319288,7,4.86
2319919,13,4.77
2266215,0,4.812309491059147
2268518,0,4.812309491059147
2273685,24,4.58
2273956,40,4.95
2274243,113,4.86
2277210,94,4.81
2320149,30,4.6
2320291,23,4.7
2320352,61,4.93
2322448,2,4.5
2323295,88,4.66
2324198,6,5.0
2324312,2,5.0
2277412,22,4.91
2278985,159,4.99
2279154,196,4.82
2283224,1,5.0
2283279,39,4.44
2283286,11,5.0
2386942,0,4.812309491059147
2324915,15,4.93
2325788,24,4.96
2325943,82,4.68
2326242,4,5.0
2328729,0,4.812309491059147
2329019,39,4.69
2330020,1,5.0
2330025,0,4.812309491059147
2330221,176,4.82
2388437,0,4.812309491059147
2388902,12,4.92
2393093,81,4.53
2394710,80,4.84
2395010,140,4.82
2395324,46,4.8
2395690,1,5.0
2396516,7,5.0
2397791,42,4.52
2332435,65,4.89
2333023,17,4.82
2335028,181,4.8
2335125,1,5.0
2335690,0,4.812309491059147
2336651,12,5.0
2337260,0,4.812309491059147
2338538,18,4.72
2339141,2,5.0
2341248,9,4.67
2402718,26,4.62
2405206,401,4.94
2410793,209,4.83
2411942,45,4.89
2342928,11,4.82
2343102,3,5.0
2346165,0,4.812309491059147
2347667,0,4.812309491059147
2347864,4,4.75
2349297,12,4.92
2349343,397,4.8
2351221,5,5.0
2353745,81,4.91
2413517,57,4.77
2414243,82,4.72
2415735,436,4.82
2416400,0,4.812309491059147
2416654,0,4.812309491059147
2416701,0,4.812309491059147
2417092,3,5.0
2354972,16,4.69
2355867,26,4.96
2356037,76,4.86
2357066,0,4.812309491059147
2360342,3,4.33
2360374,17,4.71
2361521,199,4.41
2361602,15,4.4
2362174,0,4.812309491059147
2417676,0,4.812309491059147
2419833,11,4.45
2422745,114,4.91
2424477,196,4.89
2425933,25,4.52
2426207,3,5.0
2364604,14,5.0
2366515,1,5.0
2367062,6,5.0
2370226,137,4.96
2370395,4,5.0
2371038,7,4.71
2371101,0,4.812309491059147
2371642,0,4.812309491059147
2372644,29,4.66
2426248,36,4.97
2426251,58,4.76
2426873,0,4.812309491059147
2428313,36,4.75
2373089,22,4.77
2376850,101,4.9
2377289,0,4.812309491059147
2378616,6,5.0
2383310,460,4.87
2428706,395,4.75
2432548,31,4.45
2433205,10,5.0
2435260,3,4.33
2436070,0,4.812309491059147
2436189,9,5.0
2437337,0,4.812309491059147
2439395,284,4.87
2384727,2,5.0
2385345,23,4.96
2385600,39,5.0
2386461,6,5.0
2525622,4,5.0
2526465,1,5.0
2528956,10,4.9
2531548,0,4.812309491059147
2531553,13,4.77
2441538,13,4.77
2441948,5,5.0
2444510,0,4.812309491059147
2445702,47,4.72
2451427,20,5.0
2531801,0,4.812309491059147
2531989,225,4.64
2535661,0,4.812309491059147
2535707,9,4.67
2536702,10,4.9
2536745,28,4.93
2538346,14,4.86
2539099,143,4.91
2539558,163,4.61
2452761,190,4.81
2453459,10,4.9
2542775,0,4.812309491059147
2542894,0,4.812309491059147
2543902,0,4.812309491059147
2544793,80,4.88
2546631,431,4.51
2547190,155,4.88
2454776,2,5.0
2461715,116,4.92
2465539,2,5.0
2465848,417,4.69
2467139,22,4.86
2547211,15,4.93
2547262,58,4.19
2550510,59,4.71
2552885,215,4.85
2553383,0,4.812309491059147
2554092,0,4.812309491059147
2556889,14,4.5
2559768,71,4.61
2467298,65,4.88
2469301,3,4.67
2470413,21,4.57
2472488,4,4.0
2472567,28,4.68
2560076,0,4.812309491059147
2561826,5,4.8
2569225,1,5.0
2569886,0,4.812309491059147
2570167,0,4.812309491059147
2473323,355,4.86
2473669,15,4.33
2473738,0,4.812309491059147
2473900,1,5.0
2473992,20,4.55
2476890,126,4.83
2477081,45,4.58
2478146,0,4.812309491059147
2478680,35,4.8
2576789,2,5.0
2577405,8,4.38
2577888,0,4.812309491059147
2577997,0,4.812309491059147
2581939,9,4.44
2582364,32,4.75
2479163,0,4.812309491059147
2482494,13,4.38
2487809,59,4.92
2487936,62,4.9
2489727,225,4.73
2498813,3,4.67
2508774,173,4.77
2513565,7,5.0
2515801,3,5.0
2515976,259,4.73
2516064,205,4.76
2582796,21,4.9
2582937,5,5.0
2585442,1,5.0
2589200,1,4.0
2590654,0,4.812309491059147
2592761,165,4.98
2595841,0,4.812309491059147
2597158,1,5.0
2516464,37,4.73
2519138,33,4.85
2519844,0,4.812309491059147
2520025,0,4.812309491059147
2520060,2,5.0
2520345,15,4.6
2521434,0,4.812309491059147
2523418,3,4.67
2524581,0,4.812309491059147
2525017,13,4.38
2525446,2,4.5
2658529,0,4.812309491059147
2598991,0,4.812309491059147
2599535,0,4.812309491059147
2600881,12,4.92
2604279,0,4.812309491059147
2604836,0,4.812309491059147
2604958,0,4.812309491059147
2607831,176,4.78
2608167,19,4.95
2612695,265,4.82
2613692,25,4.28
2659278,82,4.88
2660338,3,4.67
2664136,111,4.77
2664267,20,4.65
2664963,291,4.89
2665412,9,4.89
2666134,0,4.812309491059147
2614283,31,4.71
2614489,61,4.85
2614862,2,4.5
2615212,0,4.812309491059147
2620460,4,5.0
2628389,1,5.0
2630521,0,4.812309491059147
2632743,311,4.92
2634018,86,4.76
2637512,6,5.0
2666977,270,4.93
2670325,7,4.43
2671156,7,4.71
2671491,0,4.812309491059147
2671753,6,4.83
2675595,13,4.92
2676452,1,2.0
2639432,156,4.94
2640305,22,5.0
2642362,13,4.69
2642711,29,4.79
2643675,0,4.812309491059147
2644633,0,4.812309491059147
2644723,12,4.75
2644760,34,4.91
2676549,0,4.812309491059147
2677556,86,4.92
2682497,321,4.81
2683147,108,4.93
2644816,0,4.812309491059147
2645444,0,4.812309491059147
2648814,33,4.64
2650674,29,4.52
2651882,20,5.0
2652117,201,4.74
2656502,37,4.7
2657131,39,4.62
2776816,9,5.0
2683443,12,4.75
2685861,14,4.29
2686134,1,5.0
2686619,127,4.74
2686718,128,4.86
2686733,0,4.812309491059147
2777079,0,4.812309491059147
2777748,12,4.92
2781643,64,4.8
2784007,0,4.812309491059147
2785172,0,4.812309491059147
2785230,35,4.97
2785288,0,4.812309491059147
2789580,140,4.89
2789771,10,5.0
2689614,3,5.0
2694628,15,4.93
2694633,0,4.812309491059147
2699400,114,4.88
2699797,0,4.812309491059147
2700078,0,4.812309491059147
2701487,37,5.0
2701966,0,4.812309491059147
2702517,369,4.88
2702892,7,4.86
2707848,114,4.89
2708127,20,4.8
2790907,81,4.74
2794682,9,4.67
2799422,20,4.95
2800086,0,4.812309491059147
2800680,0,4.812309491059147
2712950,3,5.0
2712999,43,4.91
2715666,17,5.0
2716091,322,4.89
2716527,37,4.92
2717072,120,4.91
2721919,122,4.77
2722781,18,4.83
2723143,0,4.812309491059147
2726547,292,4.73
2802982,42,4.86
2807537,2,4.0
2809851,102,4.75
2810363,0,4.812309491059147
2811386,2,4.5
2811464,0,4.812309491059147
2817475,80,4.69
2817979,0,4.812309491059147
2727793,0,4.812309491059147
2728830,9,4.11
2728831,5,4.6
2728841,20,4.35
2728842,20,4.45
2728880,5,4.0
2729597,18,4.78
2735036,166,4.88
2735761,1,5.0
2735923,13,4.92
2818928,1,5.0
2822837,0,4.812309491059147
2824142,0,4.812309491059147
2824191,0,4.812309491059147
2824458,1,5.0
2825871,11,4.91
2829064,148,4.86
2829531,93,4.98
2830938,0,4.812309491059147
2831193,0,4.812309491059147
2736609,5,4.4
2742647,25,4.76
2745552,23,4.65
2752587,186,4.78
2753517,27,4.37
2753866,40,4.75
2755541,79,4.66
2758806,90,4.58
2834700,49,4.49
2836201,0,4.812309491059147
2836205,1,5.0
2844615,2,5.0
2844912,4,4.75
2845049,1,5.0
2846165,18,4.89
2759691,24,4.92
2760194,32,4.66
2762766,10,4.6
2766871,7,4.86
2766912,8,4.75
2768532,87,4.93
2768828,0,4.812309491059147
2769267,0,4.812309491059147
2848034,106,4.75
2852352,0,4.812309491059147
2853178,2,5.0
2854274,0,4.812309491059147
2856217,103,4.65
2861214,106,4.76
2862645,2,5.0
2769635,12,4.75
2769769,4,4.75
2769819,3,5.0
2770005,4,5.0
2770420,23,4.87
2770745,13,4.85
2771696,26,4.73
2862733,7,4.57
2866008,56,4.79
2866828,63,4.9
2867022,65,4.83
2873298,95,4.91
2873314,46,4.8
2775106,0,4.812309491059147
2925790,21,4.38
2875317,2,5.0
2875373,168,4.96
2875404,6,4.5
2875541,11,4.18
2875924,103,4.83
2879057,16,4.88
2880084,22,4.95
2882788,1,5.0
2927227,6,4.83
2930462,1,5.0
2930509,33,4.85
2933539,24,4.79
2888236,0,4.812309491059147
2888711,0,4.812309491059147
2890958,0,4.812309491059147
2893442,0,4.812309491059147
2897015,22,4.95
2897255,53,5.0
2897769,0,4.812309491059147
2934080,0,4.812309491059147
2934983,53,4.53
2939483,133,4.59
2940697,72,4.83
2942332,313,4.9
2942644,3,5.0
2898575,0,4.812309491059147
2899080,0,4.812309491059147
2907573,14,5.0
2908354,20,5.0
2908775,64,4.77
2909523,27,4.85
2913663,19,4.89
2923997,0,4.812309491059147
2924029,29,4.9
2943007,13,4.62
2943609,12,4.75
2946520,20,4.8
2947331,118,4.89
2947840,0,4.812309491059147
2948249,9,4.89
2948379,81,4.93
2924321,4,5.0
3039968,79,4.25
3041143,31,4.9
3042549,57,4.75
3042713,135,4.84
3043505,0,4.812309491059147
3047810,6,4.67
2948815,45,4.47
2950011,52,4.9
2950899,7,4.0
2954429,74,4.36
2957079,2,5.0
2959624,0,4.812309491059147
2959851,3,4.33
2962813,85,4.81
2964712,47,4.94
3048937,2,5.0
3049759,0,4.812309491059147
3050945,191,4.69
3051070,1,5.0
3052009,1,4.0
3056687,55,4.75
3058688,13,4.77
3059386,10,4.4
3061049,1,5.0
2965925,3,4.67
2966307,51,4.76
2966973,24,4.54
2967278,2,4.0
2968002,7,5.0
3063958,1,5.0
3064933,26,4.69
3066266,36,4.53
3066707,19,4.53
3066861,16,4.56
3068897,33,4.97
3069393,332,4.95
3072513,0,4.812309491059147
2977987,0,4.812309491059147
2978880,23,4.74
2978932,0,4.812309491059147
2978934,11,4.64
2979359,1,5.0
2979386,61,4.95
2979810,14,5.0
2980032,37,4.92
3074520,377,4.73
3074640,22,4.86
3075232,28,4.75
3079046,29,4.97
3079210,371,4.87
3079245,69,4.84
3082217,8,5.0
3083179,10,4.7
2980400,54,4.72
2982065,2,5.0
2983922,53,4.94
2984779,194,4.99
2985633,85,4.86
2987024,8,4.63
2987615,2,5.0
3088560,0,4.812309491059147
3089803,10,5.0
3090332,117,4.71
3090760,11,4.91
3092810,9,5.0
3092995,0,4.812309491059147
3094398,0,4.812309491059147
3095899,16,4.06
3100175,66,4.74
2988154,18,4.56
2988203,93,4.99
2988566,121,4.98
2989390,124,4.87
2991775,35,4.83
2991944,2,5.0
2991951,0,4.812309491059147
2993875,23,4.65
2994379,1,5.0
2995089,102,4.7
3103719,3,4.33
3105031,1,5.0
3105431,1,5.0
3110120,0,4.812309491059147
3112018,37,5.0
3114116,23,4.57
3122108,0,4.812309491059147
3123252,15,4.67
2996415,6,4.83
2996652,51,4.75
2997637,46,4.96
2998063,90,4.81
2998416,49,4.8
3000932,10,4.9
3001274,9,4.67
3001952,4,4.5
3003612,0,4.812309491059147
3124781,37,4.76
3128794,0,4.812309491059147
3130466,73,4.51
3130817,16,4.56
3131060,12,4.92
3132777,0,4.812309491059147
3132862,31,4.77
3004924,42,4.74
3009590,61,4.93
3012365,0,4.812309491059147
3012599,44,4.89
3013235,0,4.812309491059147
3016297,79,4.73
3136235,65,4.8
3136456,83,4.98
3136464,24,4.92
3138241,8,4.25
3139486,0,4.812309491059147
3142680,14,4.43
3144266,0,4.812309491059147
3017128,45,4.91
3025409,0,4.812309491059147
3025739,1,5.0
3026731,0,4.812309491059147
3027051,26,4.88
3144486,44,4.95
3145094,38,4.89
3145762,90,4.96
3146038,104,4.63
3146084,82,4.87
3151895,90,4.81
3027654,1,4.0
3027794,0,4.812309491059147
3029789,60,4.95
3030007,26,4.69
3030333,14,4.64
3152757,70,4.77
3153349,7,4.71
3154366,46,4.54
3154720,12,5.0
3156045,0,4.812309491059147
3156579,7,4.29
3157234,0,4.812309491059147
3157407,326,4.94
3157645,0,4.812309491059147
3161278,79,4.96
3031062,1,5.0
3031067,0,4.812309491059147
3031530,16,4.81
3032841,21,4.81
3032991,10,5.0
3162011,133,4.92
3162169,26,4.88
3162369,49,4.92
3163095,105,4.93
3163136,31,4.97
3166639,137,4.89
3167396,0,4.812309491059147
3167398,0,4.812309491059147
3167417,11,4.64
3167773,46,4.8
3037129,5,5.0
3038880,2,4.5
3496498,208,4.6
3175225,111,4.69
3175738,73,4.9
3176214,81,4.64
3176497,55,4.62
3180518,7,4.71
3181127,9,5.0
3181345,0,4.812309491059147
3183776,74,4.73
3185632,17,4.82
3499265,96,4.57
3185647,69,4.43
3190254,19,4.95
3191218,1,5.0
3191383,3,5.0
3193307,0,4.812309491059147
3193809,169,4.93
3198652,2,5.0
3199708,8,5.0
3199731,0,4.812309491059147
3200259,58,5.0
3512791,76,4.78
3518249,23,4.91
3520123,179,4.86
3532289,1,5.0
3533170,28,4.82
3200349,0,4.812309491059147
3200811,110,4.6
3206766,366,4.93
3208752,0,4.812309491059147
3209156,22,4.91
3213979,0,4.812309491059147
3539699,50,4.76
3544663,33,4.88
3547476,124,4.6
3549979,248,4.77
3557696,73,4.85
3220009,153,4.88
3225290,12,4.75
3228843,43,4.74
3228852,153,4.6
3229716,459,4.79
3230385,340,4.9
3231575,4,4.75
3231692,15,4.87
3560961,2,5.0
3562970,74,4.91
3571526,14,4.86
3600951,45,4.49
3234193,253,4.98
3237025,28,4.96
3241758,89,4.51
3242422,39,4.56
3245831,212,4.92
3246949,0,4.812309491059147
3250466,112,4.92
3604359,4,4.5
3604625,8,4.5
3604912,2,5.0
3605467,20,4.9
3624300,0,4.812309491059147
3628874,0,4.812309491059147
3263495,5,4.8
3266856,7,4.43
3270355,349,4.93
3277273,61,4.69
3279132,59,4.9
3279304,70,4.79
3280309,23,4.87
3629399,0,4.812309491059147
3637631,166,4.98
3645141,1,4.0
3645321,151,4.89
3283889,68,4.85
3287793,6,5.0
3292973,157,4.79
3302906,364,4.87
3303047,323,4.9
3303996,7,4.29
3645934,137,4.83
3655270,0,4.812309491059147
3676346,95,4.82
3697095,12,4.75
3706111,3,4.67
3712702,25,5.0
3725300,36,4.89
3735424,147,4.84
3317494,87,4.71
3325965,27,4.96
3331000,29,4.48
3334829,21,4.9
3335384,7,5.0
3338875,0,4.812309491059147
3341298,57,4.49
3736079,118,4.79
3748118,12,4.67
3760554,63,4.81
3765072,3,5.0
3765790,5,5.0
3791433,3,5.0
3791809,6,5.0
3358198,0,4.812309491059147
3358316,2,5.0
3370191,188,4.75
3372396,30,4.97
3375896,1,4.0
3380296,297,4.84
3386697,18,4.89
3797875,16,4.75
3835085,36,4.78
3880347,223,4.85
3883433,65,4.95
3392166,27,5.0
3394342,6,4.5
3403822,13,4.85
3415834,7,4.86
3416795,1,4.0
3423111,24,4.5
3425766,117,4.74
3425985,11,4.55
3896638,105,4.83
3913944,6,4.17
3914506,1,5.0
3919056,70,4.64
3425991,4,4.75
3462690,424,4.89
3467198,1,5.0
3467411,6,4.83
3468766,76,4.92
3479465,44,4.68
3485587,64,4.78
3486091,6,5.0
3928424,48,4.94
3931867,51,4.65
3933156,0,4.812309491059147
3939416,1,5.0
